id,wage,log_wage,education,experience,exp_squared,age,female,public_sector,city_size,contract_type,num_children,unionized,hours
401,2958,7.9923,15,35,1225,61,1,1,large,permanent,1,0,38
402,1217,7.1041,13,21,441,46,1,1,small,permanent,2,0,36
403,3588,8.1854,16,27,729,52,0,0,small,permanent,2,0,47
404,2204,7.698,13,16,256,39,1,1,rural,fixed_term,2,0,44
405,1627,7.3945,17,2,4,30,1,0,rural,permanent,1,0,42
406,1696,7.436,14,23,529,46,1,0,small,self_employed,1,1,33
407,1355,7.2116,10,5,25,26,0,0,small,permanent,1,0,48
408,2385,7.777,14,27,729,52,1,0,small,permanent,0,0,33
409,1398,7.2428,12,9,81,31,0,0,large,fixed_term,0,0,38
410,1900,7.5496,18,7,49,36,0,0,small,fixed_term,0,0,38
411,2368,7.7698,14,17,289,42,0,0,rural,fixed_term,1,0,43
412,1404,7.2471,11,10,100,29,1,1,small,permanent,0,0,38
413,1381,7.2306,13,19,361,44,1,0,rural,permanent,3,0,40
414,2092,7.6459,13,25,625,47,1,0,large,permanent,4,0,35
415,2983,8.0007,15,31,961,54,1,0,small,permanent,0,0,29
416,6667,8.8049,20,15,225,45,0,1,large,fixed_term,0,0,31
417,1563,7.3544,13,13,169,35,0,0,small,fixed_term,2,1,45
418,3536,8.1708,16,22,484,47,1,1,large,permanent,1,0,42
419,1603,7.3796,18,9,81,37,1,0,small,permanent,5,0,44
420,4454,8.4016,20,19,361,48,0,1,rural,permanent,2,0,35
421,921,6.8255,11,17,289,38,1,0,small,self_employed,1,0,41
422,1622,7.3914,14,25,625,48,1,1,small,self_employed,1,0,33
423,1238,7.1213,12,27,729,48,0,0,rural,fixed_term,2,0,38
424,1852,7.524,10,11,121,30,0,1,rural,fixed_term,0,0,32
425,1952,7.5766,17,13,169,39,1,0,rural,permanent,3,0,34
426,2030,7.6158,17,16,256,45,1,0,small,permanent,2,0,43
427,2206,7.6989,16,38,1444,65,1,1,small,permanent,2,0,33
428,1354,7.2108,15,11,121,34,1,0,rural,permanent,1,0,37
429,3488,8.1571,21,27,729,59,1,0,small,permanent,4,0,37
430,1688,7.4313,13,23,529,44,1,0,large,permanent,2,0,30
431,2069,7.6348,13,33,1089,57,0,0,rural,permanent,0,0,38
432,2328,7.7528,17,34,1156,62,1,0,large,fixed_term,1,0,36
433,3179,8.0643,13,21,441,43,1,1,large,permanent,0,0,37
434,2321,7.7498,19,17,289,46,1,1,rural,fixed_term,2,0,31
435,2748,7.9186,11,35,1225,55,0,1,rural,permanent,1,0,45
436,1264,7.142,15,7,49,33,1,0,small,permanent,0,1,35
437,4085,8.3151,17,29,841,57,0,1,rural,fixed_term,0,1,38
438,1183,7.0758,14,16,256,41,1,0,rural,fixed_term,1,0,39
439,2933,7.9838,13,27,729,51,1,1,large,permanent,0,0,36
440,1796,7.4933,14,16,256,39,1,1,small,fixed_term,2,0,31
441,1116,7.0175,14,10,100,34,1,0,rural,self_employed,1,0,40
442,2143,7.67,9,39,1521,59,0,0,large,permanent,3,0,41
443,1410,7.2513,10,11,121,31,0,1,large,permanent,1,0,41
444,1901,7.5501,15,37,1369,62,0,0,small,self_employed,0,0,36
445,2195,7.6939,16,17,289,42,0,0,rural,permanent,1,0,35
446,2760,7.923,14,26,676,51,0,0,large,permanent,2,0,35
447,2601,7.8637,15,28,784,55,0,0,small,fixed_term,2,0,39
448,2119,7.6587,20,17,289,50,1,0,large,permanent,0,0,41
449,2611,7.8675,13,22,484,45,0,1,small,permanent,2,0,32
450,1092,6.9958,14,11,121,33,1,1,small,permanent,0,0,33
451,2411,7.7878,14,27,729,51,1,1,small,self_employed,1,1,39
452,1726,7.4536,16,20,400,45,1,0,rural,permanent,1,1,41
453,1540,7.3395,16,9,81,34,0,0,rural,fixed_term,1,0,36
454,3251,8.0867,14,16,256,40,0,1,large,permanent,1,0,39
455,2319,7.7489,16,29,841,56,1,1,small,permanent,2,1,41
456,2156,7.676,18,0,0,27,0,0,large,permanent,2,0,33
457,2168,7.6816,15,27,729,54,0,1,large,fixed_term,1,0,31
458,1353,7.2101,12,5,25,25,0,0,small,permanent,0,0,42
459,3166,8.0602,15,22,484,47,1,0,large,permanent,1,0,30
460,1813,7.5027,14,15,225,41,0,0,large,permanent,1,0,41
461,3101,8.0395,19,25,625,53,0,0,small,fixed_term,2,0,42
462,1704,7.4407,15,17,289,43,0,0,small,fixed_term,1,0,35
463,2438,7.7989,17,22,484,50,0,1,small,fixed_term,2,0,29
464,1487,7.3045,14,19,361,42,1,0,large,fixed_term,0,0,37
465,925,6.8298,11,4,16,25,0,0,small,permanent,1,0,40
466,1400,7.2442,15,12,144,37,0,0,small,fixed_term,3,1,44
467,1438,7.271,14,23,529,47,1,0,small,permanent,1,0,37
468,2155,7.6755,13,7,49,29,0,0,large,permanent,0,1,43
469,867,6.765,8,2,4,21,0,0,rural,permanent,1,0,39
470,1884,7.5412,16,32,1024,58,1,0,rural,permanent,1,0,38
471,3763,8.233,21,25,625,57,1,0,large,permanent,1,0,45
472,4014,8.2975,19,20,400,50,0,0,large,permanent,0,0,43
473,2080,7.6401,15,27,729,53,1,0,large,permanent,2,0,36
474,2131,7.6643,14,20,400,44,0,0,small,fixed_term,0,0,42
475,2058,7.6295,15,13,169,37,0,0,large,permanent,1,1,42
476,2979,7.9993,18,5,25,33,0,1,large,fixed_term,2,0,37
477,2462,7.8087,13,13,169,37,0,0,small,permanent,1,0,37
478,3192,8.0684,17,14,196,42,1,1,large,fixed_term,1,1,39
479,920,6.8244,14,15,225,38,0,0,small,permanent,0,1,42
480,3522,8.1668,14,28,784,51,1,1,rural,self_employed,0,0,39
481,1574,7.3614,13,19,361,41,0,0,small,permanent,2,0,29
482,1969,7.5853,15,19,361,44,0,0,large,self_employed,3,0,43
483,3327,8.1098,19,23,529,54,0,0,rural,self_employed,0,0,47
484,3411,8.1348,14,24,576,47,0,0,large,permanent,1,0,38
485,2425,7.7936,11,26,676,46,1,1,small,permanent,0,0,35
486,981,6.8886,11,20,400,42,1,0,large,permanent,0,0,38
487,2261,7.7236,15,21,441,45,1,1,large,fixed_term,1,0,39
488,1897,7.548,11,31,961,52,0,1,rural,permanent,0,1,46
489,947,6.8533,13,17,289,41,1,0,large,self_employed,4,1,38
490,1816,7.5044,19,24,576,55,1,0,rural,fixed_term,0,0,38
491,2542,7.8407,14,13,169,38,0,0,large,permanent,2,0,39
492,2406,7.7857,15,30,900,54,1,0,small,permanent,1,0,39
493,952,6.8586,8,12,144,29,1,1,small,fixed_term,0,0,44
494,3724,8.2226,17,36,1296,63,1,0,large,self_employed,0,1,38
495,1606,7.3815,13,12,144,33,0,0,rural,self_employed,1,0,37
496,3047,8.0219,19,8,64,37,0,1,small,permanent,0,0,36
497,1454,7.2821,11,32,1024,54,1,0,small,permanent,0,1,30
498,2224,7.7071,17,21,441,48,0,0,rural,permanent,0,0,40
499,2321,7.7498,17,31,961,58,0,0,rural,fixed_term,0,0,35
500,2239,7.7138,17,19,361,46,0,0,large,permanent,1,0,47
